duplicate_group_id,duplicate_match_type,sample_count,source_group_count,leakage_group_count,dataset_count,dataset_ids,disease_ids,included_before_count,included_after_count,cross_dataset,label_conflict,requires_review
DUPLICATE_3d0ca9133e0ff7446ac6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c22d68a816ea5ff326d1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4135cf0ca4047551ee64,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a56ebef6259e37e8fa6d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3c35b4b19567ee7fadca,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bf3b1950abeaef4edf27,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_152b1b9a6ca15334f513,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4f8e9277d344c5df8d69,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_76915ec003ba95be0723,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_a93f2bf1071f35169433,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3d419304c5ab57b5332e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_32c6a49a3b88c7d99d80,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_73ced6edcf18bf44dca5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_448978332b46d5fc7180,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D013,1,1,True,False,True
DUPLICATE_9040e42bc815060c6035,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_55a7bb0a86dcfcc7a0c2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2309f44bd8ea5fca3605,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1f6f4f07c8f02b35d5e6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_aebdd408688c19f2da94,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_23d0f9560ed0d3ba76d1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4eb6d884b2276282793e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_8657c439bde08f90e3d0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_fc167fdd15aa6181f4ef,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e22942df81d7ec6553d2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_076e5c696519ed65d16f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_43ee0987e64c268e02b0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a7b4af5e54e10868e793,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_11737eeadbc8d7a59b02,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_bb3bd3bc1d6444f9da86,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_f3e1a536d2693e1f9476,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_06724296e04482eeee75,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_c641d90166cd4cfe7316,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_3500eb98ad12640fa124,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_021eef69c3db69a60630,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_91ffe21323a959f4a404,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e6b44853afcdd8a64a5e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_53362cf6a52832c541f9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ad190fa7118a793b7a18,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4ea7c3169ecdeb58d018,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_5d654cd901d59e492225,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2ba2506e1966b57bff97,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_8dc8815ae58bf68bdd06,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a4b1ef4fb1e1a3c3336b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_19b9b9e7e91060ef7a16,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_90554611669e91356f1d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e4cc21683ae2f363cfef,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_d97c553dbc92071f361b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_bb34b08c9517417487a7,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_60dfdbede0de58d0753f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_35e45a24e867b1c0f56f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_96200af9f5650020c75f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_66d685d01ce762300587,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_adcd9e360b587efa1b30,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_5d764c40fabfbae15147,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_55357d70f42adc42e1fe,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_7291ce752c94ef9154f2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_04ff64cbebb5b1e33aba,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_aa0d948b468f10c3ce55,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_db6e17457eef8177dba0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_eca3ed3c2a6470911693,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_85113ce15afd42ce3d4d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_b0454339a77081418822,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_64205096cbe63436f983,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_88b022efcdaf937f7b2d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_fa2d44814b3472699493,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_f0c1d1e682e7ee7614c1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_37315f4133c72977626d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_cfdb1704dff3ef1d63ce,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_f9c325088f5eb16dab8e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_58a2408ab548d5b953c0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_cde61ba97badf87ff286,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D023,1,1,True,False,True
DUPLICATE_60ac42ee06655972c161,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_94bc7ea26d0971c89e25,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c40b1748656d19401a56,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_43702ba106baedc1d423,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D011,1,1,True,False,True
DUPLICATE_42bbc5096753d5f9e559,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D013,1,1,True,False,True
DUPLICATE_e07374891efb308b6551,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_be6ab7087b091c2d790b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_60fdd4c4f443719d4598,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_695b0a3ab7333a4ad3c8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_522ac8db4dcdf9efe70e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_c0d340d96ff1bc93fca6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9676aebf2b802c83575e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c5bb9e084bd557dbdbfc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c392d2afdbb2e884619d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_395e5a0ed6b99fde4609,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_416faff98168608c7048,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_b009ad0690843f5cb8a1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1addee32d8f890085b68,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_a59db558f102be1a6ff4,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_6901ad6843ce4298485a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_e92d32e21cee5597a976,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bff2f6ae6bbfcb619ca2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_587e8a75607707f5e6ab,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_777e64b393539267da55,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ec1607bc06e2e54569f9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_6852c0252708751abaf1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2850a11c7a7e8d2e2e36,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_41618755e916730ebaa2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c01e5b01849dade8f404,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_33964c14acd8b367e6a1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_70ae89f5239dbd32c52d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_d1b2e7bb2c7c7db895dd,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_afce7397b764f438e802,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_627e6349b2034b8ddea3,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4e1495e91b8070d3f65e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c8431fe56e0ddbd0bb52,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_8c6bd65248a3cfa4dbfc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3a6a537cbee32f13b960,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_359a3cd1a07ec80b94be,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_841d976a712d9a0d51c3,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a0c127f5835b85f002ec,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_2538eb1e2115e591fe8f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cd9ebfe321cb3feb247e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_bf3691a8dd59b2cabd68,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7290c7a177829101b032,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_358d2c46292d2a8f46d0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2a6dd3bf7941e49df1ce,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_f2b1cf72802479882cea,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_33da8062c2528c0c1e6f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_5f532ee67833d241f17f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2bfd5f4ccd77ea8d24b3,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_f9c4a69aeaf41e9772fb,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_95a6488954c4a4ebaf20,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_91c45423566c702122a7,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d489b2a70bc919f6b2d2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_f6a279215af090dbbb66,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_83f5a2ecd1c37da31816,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_76e3c356eb40ad1d65fb,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cc48911b799d8a41ce48,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_d7244105c9cee0495012,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_c568172b2068abe19106,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_6c8ba854633da40b3c14,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bf1c5ee02ce1e9f474f0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_f17936c12583818ee56b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_185d6319177b3759a432,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7d12338f8f7a8dc89e81,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3a550faa8acb7be54758,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_67a5bdc2ed0951d0587c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_df023576e3cf4aacca1f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_8638c02be4faad8bccf8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_b236ef0ccf46ff959645,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_a13fee3543f977a8b25c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_d116f7fc1d4944b3fa6c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2bf7f2a7dd42bf91658a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9fc13a4bcd088499429d,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_bd6aeac60dd1ba6efd83,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_64d2856ca7a64587f7df,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_feb7ffd34ce5385c9e52,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_fbbe6b29e39d58a61a68,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D001,1,1,True,False,True
DUPLICATE_a7055d641dc54e0a42f6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_2a979b5d4c0b99aff72a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_8a070782b74e3244efc4,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_59a4334d95606a5e4ed5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cfed0c79ca9abc37af36,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_cc71408775afd4639988,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_b0ef9204833182d883c1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_edeb5aa807ea534c29fe,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D012,1,1,True,False,True
DUPLICATE_abd25977ab8ecf3fe55b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_0df05415208001fb19b7,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_7cabae02cadfb7ff8e7b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_1a346a661fcfe288b387,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_1f195f2bdd358db139d8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_81dae6937079ccdd019c,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D023,1,1,True,False,True
DUPLICATE_830e19d3fe9d52b992be,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3fa72c7201364c173492,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_044c3abc091b3f1949d9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_4f96181d854a41fefcc4,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_11ad1b073191ef552be3,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_eedae5bf633b788d03e2,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ce3cd19b34c3bc913ae1,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_775e76e66924ed442bb5,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_b6a817c6c28a1affe298,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7dbc1c98d4d323c650cc,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_6bf668de7702399432e9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D004,1,1,True,False,True
DUPLICATE_52c1fdacd8efe09d913a,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_32b4744e22b9fda3e0ca,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_adb7d3b2a6ffc27f16c8,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_bbb0fd9886f0ecda9bf6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_f7215d3bb00c3fabecd7,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D003,1,1,True,False,True
DUPLICATE_7b04484b27d5bca5dfa0,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_3a37f7a4719042a20e07,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ff8e49d14034cd557252,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_9db17f0eebcfa4046a4f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_a4c32ca610d29f29475f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D012,1,1,True,False,True
DUPLICATE_72c9ba4e1e7847723903,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_2ca7af31631a1a501647,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D016,1,1,True,False,True
DUPLICATE_f1ced630fe9ec14a34ce,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_b530beee73b6a102201f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_75fd1a3f3c313dc61bbb,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_c5056d6edd484266f7e6,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_7bcc1961582711f71ec9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_53b7e80393b1b62c164e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D009,1,1,True,False,True
DUPLICATE_98e8e6bac8b6a5cf268f,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D007,1,1,True,False,True
DUPLICATE_218dd180d096e7a20a1b,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_ff60d22339b86022964e,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_44b36eee82d0ab3bf6da,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_abb5922ae9bff686d6b4,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
DUPLICATE_39b50ab1845cb11f9794,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D014,1,1,True,False,True
DUPLICATE_a960f98cdd444e5503e9,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,D005,1,1,True,False,True
DUPLICATE_8c36ead27d0769d3cf33,perceptual,2,2,1,2,dermnet_kaggle|fitzpatrick17k_c,,0,0,True,False,True
